"path","relative_path","file_name","extension","size_kb","modified","year","category"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Fall River Mills to Adin v2019.jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Fall River Mills to Adin v2019.jpg","Fall River Mills to Adin v2019.jpg","jpg",134.5,2023-05-22,"2019","Survey area maps (images)"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Friday Napa Santa Rosa.jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Friday Napa Santa Rosa.jpg","Friday Napa Santa Rosa.jpg","jpg",129.3,2023-05-22,NA,"Survey area maps (images)"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Friday Suisun Marsh.jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Friday Suisun Marsh.jpg","Friday Suisun Marsh.jpg","jpg",154.1,2023-05-22,NA,"Survey area maps (images)"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Monday - Sacramento Valley .jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Monday - Sacramento Valley .jpg","Monday - Sacramento Valley .jpg","jpg",124.4,2023-05-22,NA,"Survey area maps (images)"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Sierra Valley v2019.jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Sierra Valley v2019.jpg","Sierra Valley v2019.jpg","jpg",218,2023-05-22,"2019","Survey area maps (images)"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Thursday Grasslands.jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Thursday Grasslands.jpg","Thursday Grasslands.jpg","jpg",136.6,2023-05-22,NA,"Survey area maps (images)"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Tuesday Sac Valley and Delta.jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Tuesday Sac Valley and Delta.jpg","Tuesday Sac Valley and Delta.jpg","jpg",135,2023-05-22,NA,"Survey area maps (images)"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Tulelake to Scotts Valley v2019.jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Tulelake to Scotts Valley v2019.jpg","Tulelake to Scotts Valley v2019.jpg","jpg",212.3,2023-05-22,"2019","Survey area maps (images)"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Wednesday East Valley SJ Desert.jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/Fixed Wing Maps_Updated 2019/Wednesday East Valley SJ Desert.jpg","Wednesday East Valley SJ Desert.jpg","jpg",133.1,2023-05-22,NA,"Survey area maps (images)"
"data-raw/cinnamon-teal/dmp000455_data/MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/VCF CA Breeding Waterfowl Survey Northeastern VCF Overview_updated 2019.jpg","MAPS_CA BPOP_Updated 2019/MAPS_CA BPOP_Updated 2019/VCF CA Breeding Waterfowl Survey Northeastern VCF Overview_updated 2019.jpg","VCF CA Breeding Waterfowl Survey Northeastern VCF Overview_updated 2019.jpg","jpg",102.1,2023-05-22,"2019","Survey area maps (images)"
"data-raw/cinnamon-teal/dmp000455_data/totals2006.doc","totals2006.doc","totals2006.doc","doc",32,2023-05-09,"2006","Annual totals report"
"data-raw/cinnamon-teal/dmp000455_data/Totals2007.doc","Totals2007.doc","Totals2007.doc","doc",36.5,2023-05-09,"2007","Annual totals report"
"data-raw/cinnamon-teal/dmp000455_data/Totals2008.doc","Totals2008.doc","Totals2008.doc","doc",33,2023-05-09,"2008","Annual totals report"
"data-raw/cinnamon-teal/dmp000455_data/totals2009.doc","totals2009.doc","totals2009.doc","doc",3.5,2023-05-09,"2009","Annual totals report"
"data-raw/cinnamon-teal/dmp000455_data/TOTALS2010.doc","TOTALS2010.doc","TOTALS2010.doc","doc",36,2023-05-09,"2010","Annual totals report"
"data-raw/cinnamon-teal/dmp000455_data/USFWS and Environment Canada 1987 Standard operating procedures for aerial waterfowl breeding ground population and habitat surveys in North America..pdf","USFWS and Environment Canada 1987 Standard operating procedures for aerial waterfowl breeding ground population and habitat surveys in North America..pdf","USFWS and Environment Canada 1987 Standard operating procedures for aerial waterfowl breeding ground population and habitat surveys in North America..pdf","pdf",4368,2023-05-09,"1987","Survey SOP reference"
"data-raw/cinnamon-teal/dmp000455_data/VCF Criteria.docx","VCF Criteria.docx","VCF Criteria.docx","docx",20.7,2023-05-09,NA,"VCF criteria doc"
