Date,Species,Count,Life Stage,Sex,Township,Range,Section,Project
7/20/2016,Rana pretiosa,2,adult,female,21S,10E,10,Apex
7/20/2016,Rana pretiosa,5,subadult,unknown,20S,07E,4,Mid-level
7/21/2016,Rana pretiosa,1,adult,female,21S,10E,10,Apex
7/21/2016,Rana pretiosa,4,adult,male,21S,10E,10,Apex
7/21/2016,Rana pretiosa,8,adult,unknown,27S,09E,14,Mid-level
7/26/2016,Rana pretiosa,7,adult,female,27S,09E,14,Apex
7/26/2016,Rana pretiosa,5,adult,male,27S,09E,14,Apex
7/27/2016,Rana pretiosa,7,adult,female,27S,09E,14,Apex
7/27/2016,Rana pretiosa,6,adult,male,27S,09E,14,Apex
7/28/2016,Rana pretiosa,4,adult,unknown,20S,11E,7,Mid-level
7/28/2016,Rana pretiosa,3,adult,female,27S,09E,14,Apex
7/28/2016,Rana pretiosa,4,adult,male,27S,09E,14,Apex
8/1/2016,Rana pretiosa,3,adult,female,27S,09E,13,Apex
8/1/2016,Rana pretiosa,2,adult,male,27S,09E,13,Apex
8/1/2016,Rana pretiosa,4,adult,unknown,40S,03E,10,Mid-level
8/2/2016,Rana pretiosa,15,adult,female,27S,09E,13,Apex
8/2/2016,Rana pretiosa,7,adult,male,27S,09E,13,Apex
8/2/2016,Rana pretiosa,1,adult,unknown,27S,09E,24,Apex
8/2/2016,Rana pretiosa,1,adult,unknown,38S,05E,14,Mid-level
8/2/2016,Rana pretiosa,1,adult,unknown,38S,05E,23,Mid-level
8/2/2016,Rana pretiosa,1,metamorph,unknown,38S,05E,14,Mid-level
8/2/2016,Rana pretiosa,1,subadult,unknown,27S,09E,13,Apex
8/3/2016,Rana pretiosa,9,adult,female,27S,09E,24,Apex
8/3/2016,Rana pretiosa,2,adult,male,27S,09E,24,Apex
8/3/2016,Rana pretiosa,1,subadult,unknown,27S,09E,13,Apex
8/3/2016,Rana pretiosa,1,subadult,unknown,38S,05E,14,Mid-level
8/9/2016,Rana pretiosa,9,adult,unknown,20S,07E,4,Mid-level
8/9/2016,Rana pretiosa,2,adult,female,30S,09E,22,Apex
8/9/2016,Rana pretiosa,1,adult,female,30S,09E,23,Apex
